0,-0.011242
0.01,-0.018099
0.02,0.0073034
0.03,0.0076574
0.04,0.018504
0.05,-0.0025443
0.06,0.0043267
0.07,0.018715
0.08,-0.010675
0.09,-0.0068721
0.1,0.015841
0.11,0.025806
0.12,0.0042415
0.13,0.024928
0.14,0.01862
0.15,0.039707
0.16,0.05825
0.17,0.062821
0.18,0.085672
0.19,0.092199
0.2,0.090024
0.21,0.083908
0.22,0.11834
0.23,0.12144
0.24,0.14612
0.25,0.16837
0.26,0.17695
0.27,0.17205
0.28,0.1791
0.29,0.22285
0.3,0.22326
0.31,0.25265
0.32,0.2753
0.33,0.30282
0.34,0.29636
0.35,0.31059
0.36,0.35934
0.37,0.36861
0.38,0.38983
0.39,0.40603
0.4,0.40342
0.41,0.44655
0.42,0.47766
0.43,0.47434
0.44,0.5022
0.45,0.53685
0.46,0.54685
0.47,0.55888
0.48,0.58204
0.49,0.60711
0.5,0.6211
0.51,0.65557
0.52,0.69365
0.53,0.71566
0.54,0.70318
0.55,0.75829
0.56,0.76349
0.57,0.785
0.58,0.79797
0.59,0.84534
0.6,0.84607
0.61,0.85715
0.62,0.87008
0.63,0.92402
0.64,0.90843
0.65,0.94457
0.66,0.95864
0.67,0.97276
0.68,1.0163
0.69,1.0186
0.7,1.0333
0.71,1.0692
0.72,1.0501
0.73,1.0946
0.74,1.1106
0.75,1.1281
0.76,1.1148
0.77,1.1247
0.78,1.1655
0.79,1.1861
0.8,1.1894
0.81,1.2061
0.82,1.2177
0.83,1.2401
0.84,1.2466
0.85,1.2309
0.86,1.2438
0.87,1.2551
0.88,1.2706
0.89,1.2822
0.9,1.3004
0.91,1.2906
0.92,1.3147
0.93,1.2984
0.94,1.3102
0.95,1.3206
0.96,1.3229
0.97,1.3203
0.98,1.32
0.99,1.3227
1,1.3425
1.01,1.3545
1.02,1.3259
1.03,1.3478
1.04,1.3477
1.05,1.3669
1.06,1.3591
1.07,1.3515
1.08,1.3646
1.09,1.3532
1.1,1.3608
1.11,1.332
1.12,1.3323
1.13,1.3501
1.14,1.3242
1.15,1.3197
1.16,1.3237
1.17,1.3093
1.18,1.3219
1.19,1.3022
1.2,1.325
1.21,1.3294
1.22,1.2964
1.23,1.2888
1.24,1.2888
1.25,1.3058
1.26,1.2904
1.27,1.2642
1.28,1.279
1.29,1.2606
1.3,1.254
1.31,1.2516
1.32,1.2304
1.33,1.2408
1.34,1.2438
1.35,1.2261
1.36,1.2332
1.37,1.2096
1.38,1.1855
1.39,1.2111
1.4,1.1803
1.41,1.1617
1.42,1.1706
1.43,1.1501
1.44,1.1515
1.45,1.1425
1.46,1.1543
1.47,1.1129
1.48,1.1078
1.49,1.1046
1.5,1.109
1.51,1.081
1.52,1.0941
1.53,1.0851
1.54,1.0846
1.55,1.0547
1.56,1.0563
1.57,1.0453
1.58,1.0304
1.59,1.0161
1.6,1.0438
1.61,1.0177
1.62,0.99939
1.63,1.0248
1.64,0.99656
1.65,0.97882
1.66,1.0026
1.67,0.96453
1.68,0.9612
1.69,0.95157
1.7,0.95751
1.71,0.94736
1.72,0.93714
1.73,0.95773
1.74,0.93946
1.75,0.93024
1.76,0.92954
1.77,0.93918
1.78,0.93963
1.79,0.92416
1.8,0.90261
1.81,0.91728
1.82,0.92273
1.83,0.89284
1.84,0.91392
1.85,0.89517
1.86,0.89358
1.87,0.89456
1.88,0.90063
1.89,0.89574
1.9,0.88175
1.91,0.89925
1.92,0.88462
1.93,0.87518
1.94,0.88907
1.95,0.88229
1.96,0.88164
1.97,0.89203
1.98,0.88988
1.99,0.88508
2,0.8621
2.01,0.87167
2.02,0.87057
2.03,0.85409
2.04,0.86663
2.05,0.87341
2.06,0.88582
2.07,0.86891
2.08,0.88119
2.09,0.8876
2.1,0.88242
2.11,0.88691
2.12,0.88435
2.13,0.88709
2.14,0.85963
2.15,0.89586
2.16,0.88309
2.17,0.88239
2.18,0.86833
2.19,0.89622
2.2,0.8893
2.21,0.89859
2.22,0.90138
2.23,0.88438
2.24,0.91544
2.25,0.91585
2.26,0.91933
2.27,0.90806
2.28,0.89449
2.29,0.90962
2.3,0.93391
2.31,0.90572
2.32,0.91776
2.33,0.91539
2.34,0.92623
2.35,0.94381
2.36,0.92907
2.37,0.93313
2.38,0.94967
2.39,0.93499
2.4,0.93183
